alpha,E(X_1),D(X_1),v,E(X_1),D(X_1)
1,0.636873,0.004301,1,1.000939,0.000513
5,0.99551,0.000966,2,2.000912,0.000513
10,1.000939,0.000513,5,5.000832,0.000513
100,0.999987,0.000101,10,10.000699,0.000513
sigma,E(X_1),D(X_1),x_0,E(X_1),D(X_1)
0.1,1.00007,5e-06,0,1.000939,0.000513
1.0,1.000939,0.000513,2,1.000992,0.000513
2.0,1.001904,0.00205,5,1.001071,0.000513
5.0,1.004799,0.012815,10,1.001204,0.000513
